query_id,query,eid,title,doi,publication_name,cover_date,subtype_description,citedby_count,openaccess,authors,affiliations,scopus_link
Q5_safe_rl_constraints,"TITLE-ABS-KEY((""safe reinforcement learning"" OR ""constrained reinforcement learning"" OR ""action projection"" OR ""safety layer"") AND (""energy management"" OR microgrid OR ""power systems"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105033691380,Lyapunov-based safe reinforcement learning for managing hybrid hydrogen-electric energy system,10.1016/j.epsr.2026.112901,Electric Power Systems Research,2026-08-01,Article,0,0,Zou Y.; Zhang A.; Zhang X.; Yang W.; Lin Y.; Liu Q.,Southwest Petroleum University China,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105033691380&origin=inward
Q5_safe_rl_constraints,"TITLE-ABS-KEY((""safe reinforcement learning"" OR ""constrained reinforcement learning"" OR ""action projection"" OR ""safety layer"") AND (""energy management"" OR microgrid OR ""power systems"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105031614765,Domain knowledge embedded constrained reinforcement learning for scheduling of renewable energy power system,10.1016/j.apenergy.2026.127621,Applied Energy,2026-05-15,Article,0,0,Gao L.; Cui S.; Fang J.; Ai X.; Wei L.; Yao W.; Wen J.,Huazhong University of Science and Technology,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105031614765&origin=inward
Q5_safe_rl_constraints,"TITLE-ABS-KEY((""safe reinforcement learning"" OR ""constrained reinforcement learning"" OR ""action projection"" OR ""safety layer"") AND (""energy management"" OR microgrid OR ""power systems"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105034390548,A knowledge-based safe reinforcement learning approach for real-time automatic control in a smart energy hub,10.1016/j.energy.2025.139569,Energy,2026-04-01,Article,0,0,Hakami M.A.; Qiu D.; Angeli D.; Strbac G.,Imperial College London; King Saud University; Università degli Studi di Firenze; University of Exeter,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105034390548&origin=inward
Q5_safe_rl_constraints,"TITLE-ABS-KEY((""safe reinforcement learning"" OR ""constrained reinforcement learning"" OR ""action projection"" OR ""safety layer"") AND (""energy management"" OR microgrid OR ""power systems"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105024089363,Safe Reinforcement Learning-Based Eco-Driving Control of Autonomous HEV in Off-Road Scenarios,10.1109/TTE.2025.3640938,IEEE Transactions on Transportation Electrification,2026-04-01,Article,0,0,Guo L.; Ren X.; Cao X.; Liu R.; Qin Y.; Cao D.,"Tsinghua University; School of Mechanical Engineering, Beijing Institute of Technology; Inner Mongolia University China",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105024089363&origin=inward
Q5_safe_rl_constraints,"TITLE-ABS-KEY((""safe reinforcement learning"" OR ""constrained reinforcement learning"" OR ""action projection"" OR ""safety layer"") AND (""energy management"" OR microgrid OR ""power systems"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105029451427,Battery-aging-aware co-optimization of adaptive cruise control and hybrid electric vehicle energy management: A constrained hybrid-action reinforcement learning approach,10.1016/j.jpowsour.2026.239432,Journal of Power Sources,2026-03-30,Article,0,0,Xu J.; Azad N.L.; Chen Z.; Lin Y.,South China University of Technology; University of Waterloo; Kunming University of Science and Technology,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105029451427&origin=inward
Q5_safe_rl_constraints,"TITLE-ABS-KEY((""safe reinforcement learning"" OR ""constrained reinforcement learning"" OR ""action projection"" OR ""safety layer"") AND (""energy management"" OR microgrid OR ""power systems"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105033915973,Degradation-Aware Learning-Based Control for Residential PV–Battery Systems,10.3390/en19061434,Energies,2026-03-01,Article,0,1,Ammari A.C.,Sultan Qaboos University,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105033915973&origin=inward
Q5_safe_rl_constraints,"TITLE-ABS-KEY((""safe reinforcement learning"" OR ""constrained reinforcement learning"" OR ""action projection"" OR ""safety layer"") AND (""energy management"" OR microgrid OR ""power systems"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105029274412,Safe reinforcement learning energy management for hybrid electric vehicles: A supervisory action assessment and correction approach,10.1016/j.jclepro.2026.147720,Journal of Cleaner Production,2026-02-15,Article,0,0,Li F.; Li M.; Wu Y.; Li H.; Song Y.; Huang Z.,Central South University,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105029274412&origin=inward
Q5_safe_rl_constraints,"TITLE-ABS-KEY((""safe reinforcement learning"" OR ""constrained reinforcement learning"" OR ""action projection"" OR ""safety layer"") AND (""energy management"" OR microgrid OR ""power systems"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105018216965,Robust Reinforcement Learning-Based Resilient Operation of Networked Microgrids,10.1109/TIA.2025.3619015,IEEE Transactions on Industry Applications,2026-01-01,Article,1,0,Hao G.; Li Y.; Li Y.; Zheng J.; Yao W.; Jiang L.; Luo Y.,Huazhong University of Science and Technology; South China University of Technology; University of Liverpool; Northeast Electric Power University,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105018216965&origin=inward
Q5_safe_rl_constraints,"TITLE-ABS-KEY((""safe reinforcement learning"" OR ""constrained reinforcement learning"" OR ""action projection"" OR ""safety layer"") AND (""energy management"" OR microgrid OR ""power systems"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105030849130,Safety-Certified Secondary Control for Transient State Constraint in Autonomous DC Microgrids via Proximal-Reserve Control Barrier Functions,10.1109/TII.2026.3659902,IEEE Transactions on Industrial Informatics,2026-01-01,Article,0,0,Lang J.; Yang T.; Jin H.; Qin L.,Tianjin University,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105030849130&origin=inward
Q5_safe_rl_constraints,"TITLE-ABS-KEY((""safe reinforcement learning"" OR ""constrained reinforcement learning"" OR ""action projection"" OR ""safety layer"") AND (""energy management"" OR microgrid OR ""power systems"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105028661873,Environmentally Sustainable HVAC Management in Smart Buildings Using a Reinforcement Learning Framework SACEM,10.3390/su18021036,Sustainability Switzerland,2026-01-01,Article,0,1,Alshammari A.; Elhadi A.A.E.; Ibrahim A.O.,Universiti Teknologi PETRONAS; University of Hafr Al-Batin,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105028661873&origin=inward
Q5_safe_rl_constraints,"TITLE-ABS-KEY((""safe reinforcement learning"" OR ""constrained reinforcement learning"" OR ""action projection"" OR ""safety layer"") AND (""energy management"" OR microgrid OR ""power systems"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105017652520,Safe Deep Reinforcement Learning for Energy Management of Electrified Vehicles: Optimal Action Filtering and Battery-in-the-Loop Validation,10.1109/TTE.2025.3615387,IEEE Transactions on Transportation Electrification,2026-01-01,Article,3,0,Wang H.; Biswas A.; Chen J.; Yan F.; Machado F.; Emadi A.,"Indian Institute of Technology Madras; McMaster University, Faculty of Engineering",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105017652520&origin=inward
Q5_safe_rl_constraints,"TITLE-ABS-KEY((""safe reinforcement learning"" OR ""constrained reinforcement learning"" OR ""action projection"" OR ""safety layer"") AND (""energy management"" OR microgrid OR ""power systems"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105019082356,Virtual Power Plants for Frequency Regulation: A Learning-Based Method With Safety Guarantee,10.1109/TSG.2025.3618896,IEEE Transactions on Smart Grid,2026-01-01,Article,1,0,Zhang M.; Xu Y.; Sang L.; Guo Y.; Hatziargyriou N.D.,Tsinghua University; Southeast University; The Hong Kong Polytechnic University; National Technical University of Athens (NTUA),https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105019082356&origin=inward
Q5_safe_rl_constraints,"TITLE-ABS-KEY((""safe reinforcement learning"" OR ""constrained reinforcement learning"" OR ""action projection"" OR ""safety layer"") AND (""energy management"" OR microgrid OR ""power systems"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105020714393,Communication-Aware Wide-Area Damping Control Using Risk-Constrained Reinforcement Learning,10.1109/TSG.2025.3627099,IEEE Transactions on Smart Grid,2026-01-01,Article,0,0,Kwon K.B.; Ye L.; Gupta V.; Zhu H.,Huazhong University of Science and Technology; College of Engineering; Cockrell School of Engineering; Pacific Northwest National Laboratory,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105020714393&origin=inward
Q5_safe_rl_constraints,"TITLE-ABS-KEY((""safe reinforcement learning"" OR ""constrained reinforcement learning"" OR ""action projection"" OR ""safety layer"") AND (""energy management"" OR microgrid OR ""power systems"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105032693124,A Hybrid Data-Model-Driven Fast-Solving Method for Robust Look-Ahead Economic Dispatch with N-1 Security Constraints,10.1109/TPWRS.2026.3671262,IEEE Transactions on Power Systems,2026-01-01,Article,0,0,Si R.; Chen S.; Zhang J.; Xu J.; Chen Y.; Hao J.; Gao D.W.,Wuhan University; Daniel Felix Ritchie School of Engineering & Computer Science; CSG Power Dispatching Control Center; National Renewable Energy Laboratory,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105032693124&origin=inward
Q5_safe_rl_constraints,"TITLE-ABS-KEY((""safe reinforcement learning"" OR ""constrained reinforcement learning"" OR ""action projection"" OR ""safety layer"") AND (""energy management"" OR microgrid OR ""power systems"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105018194096,Multi-Microgrids Peer to Peer Electricity-Carbon Joint Trading Method Based on Multi-Agent Ethical Enhancement Technology,10.1109/TIA.2025.3619016,IEEE Transactions on Industry Applications,2026-01-01,Article,1,0,Shi F.; Cheng L.; Song Y.; Zhao P.; Xi Y.; Zhang K.; Zhong H.,Tsinghua University; State Grid Corporation of China,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105018194096&origin=inward
