query_id,query,eid,title,doi,publication_name,cover_date,subtype_description,citedby_count,openaccess,authors,affiliations,scopus_link
Q4_offpolicy_vs_onpolicy,"TITLE-ABS-KEY((""soft actor-critic"" OR SAC OR TD3 OR DDPG OR PPO) AND (""energy management"" OR microgrid OR HEMS)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105028985737,Hybrid reinforcement learning optimization of aging aware energy management and powertrain sizing in fuel cell hybrid electric vehicles,10.1038/s41598-025-34256-0,Scientific Reports,2026-12-01,Article,0,1,Mostashiri A.; Montazeri-Gh M.,Iran University of Science and Technology,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105028985737&origin=inward
Q4_offpolicy_vs_onpolicy,"TITLE-ABS-KEY((""soft actor-critic"" OR SAC OR TD3 OR DDPG OR PPO) AND (""energy management"" OR microgrid OR HEMS)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105034340501,Intelligent cloud-based RAS management: integration of DDPG reinforcement learning with AWS IoT for optimized aquaculture production,10.1038/s41598-025-33736-7,Scientific Reports,2026-12-01,Article,0,1,Elmessery W.M.; Shams M.Y.; El-Hafeez T.A.; Eid M.H.; Székács A.; Saeed O.; Ahmed A.F.; Alhumedi M.; Elwakeel A.E.,Taif University; Hungarian University of Agriculture and Life Sciences; Miskolci Egyetem; Faculty of Sciences; Faculty of Science; Faculty of Agriculture; Deraya University; Faculty of Artificial Intelligence; Faculty of Agriculture and Natural Resources,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105034340501&origin=inward
Q4_offpolicy_vs_onpolicy,"TITLE-ABS-KEY((""soft actor-critic"" OR SAC OR TD3 OR DDPG OR PPO) AND (""energy management"" OR microgrid OR HEMS)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105033691380,Lyapunov-based safe reinforcement learning for managing hybrid hydrogen-electric energy system,10.1016/j.epsr.2026.112901,Electric Power Systems Research,2026-08-01,Article,0,0,Zou Y.; Zhang A.; Zhang X.; Yang W.; Lin Y.; Liu Q.,Southwest Petroleum University China,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105033691380&origin=inward
Q4_offpolicy_vs_onpolicy,"TITLE-ABS-KEY((""soft actor-critic"" OR SAC OR TD3 OR DDPG OR PPO) AND (""energy management"" OR microgrid OR HEMS)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105034464627,Dynamic energy allocation models to improve performance for hybrid vehicle efficiency,10.1007/s10586-026-06042-8,Cluster Computing,2026-08-01,Article,0,0,Kushwah V.; Dhulipalla U.M.; Krishna V.N.; Vyas K.; Kethavath S.,Indian Institutes of Information Technology,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105034464627&origin=inward
Q4_offpolicy_vs_onpolicy,"TITLE-ABS-KEY((""soft actor-critic"" OR SAC OR TD3 OR DDPG OR PPO) AND (""energy management"" OR microgrid OR HEMS)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105032364807,Reinforcement learning vs. model-based control in electric vehicle charging microgrids,10.1016/j.conengprac.2026.106890,Control Engineering Practice,2026-07-01,Article,0,0,Burgaud V.; Le Goff G.; Kergus P.; Fadel M.,Laboratoire Plasma et Conversion d’Energie,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105032364807&origin=inward
Q4_offpolicy_vs_onpolicy,"TITLE-ABS-KEY((""soft actor-critic"" OR SAC OR TD3 OR DDPG OR PPO) AND (""energy management"" OR microgrid OR HEMS)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105032183901,Hierarchical online energy management for off-road hybrid electric vehicles: integrating real-time planning with multi-agent expert knowledge,10.1016/j.aei.2026.104547,Advanced Engineering Informatics,2026-07-01,Article,0,0,Ma X.; Liu H.; Han L.; Yang N.; Xiang C.,"Beijing Institute of Technology; School of Mechanical Engineering, Beijing Institute of Technology",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105032183901&origin=inward
Q4_offpolicy_vs_onpolicy,"TITLE-ABS-KEY((""soft actor-critic"" OR SAC OR TD3 OR DDPG OR PPO) AND (""energy management"" OR microgrid OR HEMS)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105034973820,Proximal policy optimization-driven multi-agent real-time home energy management system for peer-to-peer energy trading with blockchain and GUI application for smart energy communities,10.1016/j.compeleceng.2026.111048,Computers and Electrical Engineering,2026-06-01,Article,0,0,Rehman U.u.,Instituto Superior de Engenharia do Porto,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105034973820&origin=inward
Q4_offpolicy_vs_onpolicy,"TITLE-ABS-KEY((""soft actor-critic"" OR SAC OR TD3 OR DDPG OR PPO) AND (""energy management"" OR microgrid OR HEMS)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105033086398,Deep reinforcement learning for vehicle-to-grid energy management with reward decomposition and battery health preservation,10.1016/j.segan.2026.102184,Sustainable Energy Grids and Networks,2026-06-01,Article,0,0,Bhat A.N.; Singh M.; Kasana S.S.,Thapar Institute of Engineering & Technology; Central University of Haryana,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105033086398&origin=inward
Q4_offpolicy_vs_onpolicy,"TITLE-ABS-KEY((""soft actor-critic"" OR SAC OR TD3 OR DDPG OR PPO) AND (""energy management"" OR microgrid OR HEMS)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105032515060,Safe multi-critic reinforcement learning framework for coordinated energy management and voltage regulation in active distribution networks,10.1016/j.segan.2026.102179,Sustainable Energy Grids and Networks,2026-06-01,Article,0,0,Kim H.J.; Kim D.,Chungnam National University,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105032515060&origin=inward
Q4_offpolicy_vs_onpolicy,"TITLE-ABS-KEY((""soft actor-critic"" OR SAC OR TD3 OR DDPG OR PPO) AND (""energy management"" OR microgrid OR HEMS)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105030925170,AI-powered predictive control for hybrid renewable microgrids: Integrating photovoltaic generation and battery storage in smart homes and industrial applications,10.1016/j.mlwa.2026.100864,Machine Learning with Applications,2026-06-01,Article,0,1,Flórez S.L.; Hernández G.; Prieto J.; de la Prieta F.,Universidad de Salamanca; Universidad Tecnológica de Pereira,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105030925170&origin=inward
