query_id,query,eid,title,doi,publication_name,cover_date,subtype_description,citedby_count,openaccess,authors,affiliations,scopus_link
Q8_multi_tariff_generalization,"TITLE-ABS-KEY((""dynamic pricing"" OR ""time-of-use"" OR tariff) AND (""energy management"") AND (robustness OR generalization OR ""multi-tariff"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105031689612,Collaborative optimization of berth scheduling and multi-energy dispatch for green ports,10.1016/j.omega.2026.103549,Omega United Kingdom,2026-09-01,Article,0,0,Li Y.N.; Hu Z.H.,Shanghai Maritime University,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105031689612&origin=inward
Q8_multi_tariff_generalization,"TITLE-ABS-KEY((""dynamic pricing"" OR ""time-of-use"" OR tariff) AND (""energy management"") AND (robustness OR generalization OR ""multi-tariff"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105032184445,Economic model predictive control for energy-efficient residential heating under dynamic electricity pricing,10.1016/j.rineng.2026.109765,Results in Engineering,2026-03-01,Article,0,1,Boutahri Y.; Tilioua A.,Université Moulay Ismaïl,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105032184445&origin=inward
Q8_multi_tariff_generalization,"TITLE-ABS-KEY((""dynamic pricing"" OR ""time-of-use"" OR tariff) AND (""energy management"") AND (robustness OR generalization OR ""multi-tariff"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105029511264,Adaptive optimization of BESS and grid set points: A model-free framework for energy management under dynamic tariff pricing,10.1016/j.energy.2026.140148,Energy,2026-03-01,Article,0,1,Selim A.; Mo H.; Pota H.; Dong D.,University of Technology Sydney; University of New South Wales at Australian Defence Force Academy,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105029511264&origin=inward
Q8_multi_tariff_generalization,"TITLE-ABS-KEY((""dynamic pricing"" OR ""time-of-use"" OR tariff) AND (""energy management"") AND (robustness OR generalization OR ""multi-tariff"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105031355644,Low-Carbon Scheduling Optimization for Flexible Job Shop Production with a Time-of-Use Pricing Strategy and a Photovoltaic Microgrid,10.3390/math14040590,Mathematics,2026-02-01,Article,0,1,Lu Q.; Wei C.; Guo Z.; Cao X.; Zhang C.; Zhou G.,Xi'an Jiaotong University; Xi'an University of Science and Technology; State Key Laboratory for Manufacturing Systems Engineering,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105031355644&origin=inward
Q8_multi_tariff_generalization,"TITLE-ABS-KEY((""dynamic pricing"" OR ""time-of-use"" OR tariff) AND (""energy management"") AND (robustness OR generalization OR ""multi-tariff"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105028661873,Environmentally Sustainable HVAC Management in Smart Buildings Using a Reinforcement Learning Framework SACEM,10.3390/su18021036,Sustainability Switzerland,2026-01-01,Article,0,1,Alshammari A.; Elhadi A.A.E.; Ibrahim A.O.,Universiti Teknologi PETRONAS; University of Hafr Al-Batin,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105028661873&origin=inward
Q8_multi_tariff_generalization,"TITLE-ABS-KEY((""dynamic pricing"" OR ""time-of-use"" OR tariff) AND (""energy management"") AND (robustness OR generalization OR ""multi-tariff"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105019647771,Dynamic pricing and energy management for shore side electricity in a port microgrid: A deep reinforcement learning approach,10.1016/j.asoc.2025.114089,Applied Soft Computing,2026-01-01,Article,1,0,Oh C.; Moon I.,Seoul National University; Digital Twin Research Department,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105019647771&origin=inward
Q8_multi_tariff_generalization,"TITLE-ABS-KEY((""dynamic pricing"" OR ""time-of-use"" OR tariff) AND (""energy management"") AND (robustness OR generalization OR ""multi-tariff"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105034986283,Energy-aware production scheduling considering energy consumption in storage under time-of-use tariffs,10.1080/00207543.2026.2651395,International Journal of Production Research,2026-01-01,Article,0,0,Bo H.; Chen X.A.; He S.; Luo Q.,Dalian University of Technology; University of New Hampshire Durham; Xi'an Jiaotong-Liverpool University,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105034986283&origin=inward
Q8_multi_tariff_generalization,"TITLE-ABS-KEY((""dynamic pricing"" OR ""time-of-use"" OR tariff) AND (""energy management"") AND (robustness OR generalization OR ""multi-tariff"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105026256013,COGEniX: an industrial informatics framework for cognitive energy forecasting and carbon-aware scheduling in smart zones,10.1038/s41598-025-29397-1,Scientific Reports,2025-12-01,Article,0,1,Al Mazroa A.,Princess Nourah Bint Abdulrahman University,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105026256013&origin=inward
Q8_multi_tariff_generalization,"TITLE-ABS-KEY((""dynamic pricing"" OR ""time-of-use"" OR tariff) AND (""energy management"") AND (robustness OR generalization OR ""multi-tariff"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105021004235,Efficient microgrid scheduling via actor-critic reinforcement learning with minimal state representation and well-defined reward design,10.1016/j.egyr.2025.10.037,Energy Reports,2025-12-01,Article,0,1,Jayaraj S.; Abraham M.P.; Imthias I.A.; Sulthan S.M.; Sri Revathi B.,"Vellore Institute of Technology, Chennai; University of West London; Universiti Teknologi Brunei; APJ Abdul Kalam Technological University; TKM College of Engineering; Providence College of Engineering",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105021004235&origin=inward
Q8_multi_tariff_generalization,"TITLE-ABS-KEY((""dynamic pricing"" OR ""time-of-use"" OR tariff) AND (""energy management"") AND (robustness OR generalization OR ""multi-tariff"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-85218256811,Smart building energy management with renewables and storage systems using a modified weighted mean of vectors algorithm,10.1038/s41598-024-79782-5,Scientific Reports,2025-12-01,Article,8,1,Ebeed M.; hassan S.; Kamel S.; Nasrat L.; Mohamed A.W.; Youssef A.R.,Faculty of Energy Engineering; Faculty of Graduate Studies for Statistical Research; Faculty of Engineering; Faculty of Engineering,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85218256811&origin=inward
Q8_multi_tariff_generalization,"TITLE-ABS-KEY((""dynamic pricing"" OR ""time-of-use"" OR tariff) AND (""energy management"") AND (robustness OR generalization OR ""multi-tariff"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105011514240,Optimizing grid energy management through the integration of inverter-based resources and community energy prosumers for sustainable energy systems,10.1016/j.enconman.2025.120265,Energy Conversion and Management,2025-11-15,Article,5,0,Tsao Y.C.; Arei Banyupramesta I.G.; Lu J.C.,College of Engineering; National Taiwan University of Science and Technology; Asia University,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105011514240&origin=inward
Q8_multi_tariff_generalization,"TITLE-ABS-KEY((""dynamic pricing"" OR ""time-of-use"" OR tariff) AND (""energy management"") AND (robustness OR generalization OR ""multi-tariff"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105009164002,Multi objective optimisation of AC residential microgrid using parameterised meta-heuristics algorithm,10.1016/j.epsr.2025.111912,Electric Power Systems Research,2025-11-01,Article,1,1,Chowdhury N.A.; Yang F.,Griffith University,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105009164002&origin=inward
Q8_multi_tariff_generalization,"TITLE-ABS-KEY((""dynamic pricing"" OR ""time-of-use"" OR tariff) AND (""energy management"") AND (robustness OR generalization OR ""multi-tariff"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105011848600,A novel hybrid Salp Swarm Kepler optimization for optimal sizing and energy management of renewable microgrids with EV integration,10.1016/j.energy.2025.137696,Energy,2025-10-15,Article,10,0,Güven A.F.,Yalova Üniversitesi,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105011848600&origin=inward
Q8_multi_tariff_generalization,"TITLE-ABS-KEY((""dynamic pricing"" OR ""time-of-use"" OR tariff) AND (""energy management"") AND (robustness OR generalization OR ""multi-tariff"")) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105018906573,PINN-DT: Optimizing Energy Consumption in Smart Building Using Hybrid Physics-Informed Neural Networks and Digital Twin Framework with Blockchain Security,10.3390/s25196242,Sensors,2025-10-01,Article,7,1,Kazemi Naeini H.; Shomali R.; Pishahang A.; Hasanzadeh H.; Asadi S.; Gholizadeh Lonbar A.,"Islamic Azad University, Science and Research Branch; Florida Atlantic University; College of Engineering; Department of Civil, Construction and Environmental Engineering; The Department of Information Systems, Statistics, and Management Science",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105018906573&origin=inward
