query_id,query,eid,title,doi,publication_name,cover_date,subtype_description,citedby_count,openaccess,authors,affiliations,scopus_link
Q3_rl_energy,"TITLE-ABS-KEY((""reinforcement learning"" OR ""deep reinforcement learning"") AND (""home energy management"" OR microgrid) AND (PV OR battery OR EV)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105030560055,Adaptive reinforcement learning framework for sustainable microgrid optimization in arid urban environments,10.1038/s41598-026-37752-z,Scientific Reports,2026-12-01,Article,0,1,Mohamed M.A.S.; Almazam K.; Alzahrani M.; Majrashi A.A.; Garo O.O.; Lagebo M.L.,"Qassim University; University of Ha'il; Najran University; Arba Minch University; Umm Al Qura University, College of Engineering and Islamic Architecture",https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105030560055&origin=inward
Q3_rl_energy,"TITLE-ABS-KEY((""reinforcement learning"" OR ""deep reinforcement learning"") AND (""home energy management"" OR microgrid) AND (PV OR battery OR EV)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105032364807,Reinforcement learning vs. model-based control in electric vehicle charging microgrids,10.1016/j.conengprac.2026.106890,Control Engineering Practice,2026-07-01,Article,0,0,Burgaud V.; Le Goff G.; Kergus P.; Fadel M.,Laboratoire Plasma et Conversion d’Energie,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105032364807&origin=inward
Q3_rl_energy,"TITLE-ABS-KEY((""reinforcement learning"" OR ""deep reinforcement learning"") AND (""home energy management"" OR microgrid) AND (PV OR battery OR EV)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105034470637,Scalable fairness shaping with LLM-guided multi-agent reinforcement learning for peer-to-peer electricity markets,10.1016/j.jup.2026.102168,Utilities Policy,2026-06-01,Article,0,1,Jadhav S.; Sevak B.; Das S.; Hussain A.; Su W.; Bui V.H.,Université Laval; University of Michigan-Dearborn,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105034470637&origin=inward
Q3_rl_energy,"TITLE-ABS-KEY((""reinforcement learning"" OR ""deep reinforcement learning"") AND (""home energy management"" OR microgrid) AND (PV OR battery OR EV)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105030925170,AI-powered predictive control for hybrid renewable microgrids: Integrating photovoltaic generation and battery storage in smart homes and industrial applications,10.1016/j.mlwa.2026.100864,Machine Learning with Applications,2026-06-01,Article,0,1,Flórez S.L.; Hernández G.; Prieto J.; de la Prieta F.,Universidad de Salamanca; Universidad Tecnológica de Pereira,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105030925170&origin=inward
Q3_rl_energy,"TITLE-ABS-KEY((""reinforcement learning"" OR ""deep reinforcement learning"") AND (""home energy management"" OR microgrid) AND (PV OR battery OR EV)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105034914857,The impact of battery scheduling strategies on profitability considering battery usage costs and dynamic electricity pricing in Nordic residential PV–battery system,10.1016/j.est.2026.121301,Journal of Energy Storage,2026-04-10,Article,0,1,Karttunen L.; Jouttijärvi S.; Jasielec J.J.; Niskanen J.; Huerta H.; Ranta S.; Miettunen K.,Turun yliopisto; AGH University of Krakow; Turun ammattikorkeakoulu,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105034914857&origin=inward
Q3_rl_energy,"TITLE-ABS-KEY((""reinforcement learning"" OR ""deep reinforcement learning"") AND (""home energy management"" OR microgrid) AND (PV OR battery OR EV)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105028172077,Online-Trained Deep Reinforcement Learning-Based Control for Reconfigurable Battery Storage in DC Shipboard Microgrid Applications,10.1109/TTE.2026.3653172,IEEE Transactions on Transportation Electrification,2026-04-01,Article,0,0,Yuan Z.; Zeng Y.; Ghias A.M.Y.M.; Pou J.; Pickert V.,University of Electronic Science and Technology of China; Newcastle University; City University of Hong Kong; School of Electrical and Electronic Engineering,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105028172077&origin=inward
Q3_rl_energy,"TITLE-ABS-KEY((""reinforcement learning"" OR ""deep reinforcement learning"") AND (""home energy management"" OR microgrid) AND (PV OR battery OR EV)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105015330360,Offline Deep Reinforcement Learning-Based Home Energy Management Systems With Heterogeneous EV Charging Load Models,10.1109/TCSI.2025.3600455,IEEE Transactions on Circuits and Systems I Regular Papers,2026-04-01,Article,1,0,Xiong L.; Tang Y.; Bhattacharya K.; Chow M.Y.; Qian F.,Shanghai Jiao Tong University; University of Waterloo; East China University of Science and Technology,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105015330360&origin=inward
Q3_rl_energy,"TITLE-ABS-KEY((""reinforcement learning"" OR ""deep reinforcement learning"") AND (""home energy management"" OR microgrid) AND (PV OR battery OR EV)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105030175166,Explainable deep reinforcement learning for resilient and battery-aware microgrid control,10.1016/j.enconman.2026.121215,Energy Conversion and Management,2026-04-01,Article,0,1,Nejati Amiri M.H.; Guéniat F.,Birmingham City University,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105030175166&origin=inward
Q3_rl_energy,"TITLE-ABS-KEY((""reinforcement learning"" OR ""deep reinforcement learning"") AND (""home energy management"" OR microgrid) AND (PV OR battery OR EV)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105026663508,"Adaptive home energy management based on PI-DRA-PPO for integrated electricity, hydrogen, and heat storage systems",10.1016/j.apenergy.2025.127257,Applied Energy,2026-03-15,Article,2,0,Liu M.; Bu S.; Zhu Z.; Zhou B.,The Hong Kong Polytechnic University; Hunan University,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105026663508&origin=inward
Q3_rl_energy,"TITLE-ABS-KEY((""reinforcement learning"" OR ""deep reinforcement learning"") AND (""home energy management"" OR microgrid) AND (PV OR battery OR EV)) AND PUBYEAR > 2018 AND LANGUAGE(english) AND (DOCTYPE(ar))",2-s2.0-105027065675,How energy management strategy shapes optimal microgrid design: A comparative analysis for EV charging stations,10.1016/j.apenergy.2026.127352,Applied Energy,2026-03-15,Article,2,0,Alshammari N.F.; Alshahr S.; Barakat S.,Jouf University; Faculty of Engineering,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=105027065675&origin=inward
